  X         Y          Z
  78.1750  15.9324    267.00
  78.1917  15.9324    267.00
  78.2083  15.9324    267.00
  78.2250  15.9324    265.00
  78.2417  15.9324    263.00
  78.2583  15.9324    267.00
  78.2750  15.9324    281.00
  78.2917  15.9324    293.00
  78.3083  15.9324    291.00
  78.3250  15.9324    287.00
  78.3417  15.9324    281.00
  78.3583  15.9324    271.00
  78.3750  15.9324    269.00
  78.3917  15.9324    271.00
  78.4083  15.9324    267.00
  78.4250  15.9324    265.00
  78.4417  15.9324    271.00
  78.4583  15.9324    275.00
  78.4750  15.9324    275.00
  78.4917  15.9324    277.00
  78.5083  15.9324    281.00
  78.5250  15.9324    287.00
  78.5417  15.9324    293.00
  78.5583  15.9324    295.00
  78.5750  15.9324    295.00
  78.5917  15.9324    297.00
  78.6083  15.9324    299.00
  78.6250  15.9324    301.00
  78.6417  15.9324    305.00
  78.6583  15.9324    325.00
  78.6750  15.9324    453.00
  78.6917  15.9324    555.00
  78.7083  15.9324    577.00
  78.7250  15.9324    579.00
  78.7417  15.9324    637.00
  78.7583  15.9324    601.00
  78.7750  15.9324    593.00
  78.7917  15.9324    611.00
  78.8083  15.9324    629.00
  78.8250  15.9324    621.00
  78.8417  15.9324    651.00
  78.8583  15.9324    765.00
  78.8750  15.9324    761.00
  78.8917  15.9324    719.00
  78.9083  15.9324    599.00
  78.9250  15.9324    485.00
  78.9417  15.9324    497.00
  78.9583  15.9324    525.00
  78.9750  15.9324    511.00
  78.9917  15.9324    409.00
  79.0083  15.9324    313.00
  79.0250  15.9324    291.00
  79.0417  15.9324    275.00
  79.0583  15.9324    271.00
  79.0750  15.9324    255.00
  79.0917  15.9324    249.00
  79.1083  15.9324    255.00
  79.1250  15.9324    249.00
  79.1417  15.9324    237.00
  79.1583  15.9324    221.00
  79.1750  15.9324    219.00
  79.1917  15.9324    215.00
  79.2083  15.9324    205.00
  79.2250  15.9324    191.00
  79.2417  15.9324    179.00
  79.2583  15.9324    167.00
  79.2750  15.9324    161.00
  79.2917  15.9324    155.00
  79.3083  15.9324    149.00
  79.3250  15.9324    145.00
  79.3417  15.9324    135.00
  79.3583  15.9324    133.00
  79.3750  15.9324    129.00
  79.3917  15.9324    123.00
  79.4083  15.9324    117.00
  79.4250  15.9324    115.00
  79.4417  15.9324    119.00
  79.4583  15.9324    117.00
  79.4750  15.9324    113.00
  79.4917  15.9324    133.00
  79.5083  15.9324    121.00
  79.5250  15.9324    125.00
  79.5417  15.9324    147.00
  79.5583  15.9324    153.00
  79.5750  15.9324    127.00
  79.5917  15.9324    109.00
  79.6083  15.9324    105.00
  79.6250  15.9324    103.00
  79.6417  15.9324    109.00
  79.6583  15.9324    105.00
  79.6750  15.9324    111.00
  79.6917  15.9324    107.00
  79.7083  15.9324     99.00
  79.7250  15.9324     93.00
  79.7417  15.9324     87.00
  79.7583  15.9324     87.00
  79.7750  15.9324     87.00
  79.7917  15.9324     79.00
  79.8083  15.9324     79.00
  79.8250  15.9324     71.00
  79.8417  15.9324     61.00
  79.8583  15.9324     51.00
  79.8750  15.9324     49.00
  79.8917  15.9324     59.00
  79.9083  15.9324     59.00
  79.9250  15.9324     97.00
  79.9417  15.9324    101.00
  79.9583  15.9324     59.00
  79.9750  15.9324     55.00
  79.9917  15.9324     69.00
  80.0083  15.9324     73.00
  78.0083  15.9163    309.00
  78.0250  15.9163    307.00
  78.0417  15.9163    309.00
  78.0583  15.9163    311.00
  78.0750  15.9163    311.00
  78.0917  15.9163    307.00
  78.1083  15.9163    303.00
  78.1250  15.9163    295.00
  78.1417  15.9163    289.00
  78.1583  15.9163    281.00
  78.1750  15.9163    267.00
  78.1917  15.9163    265.00
  78.2083  15.9163    265.00
  78.2250  15.9163    265.00
  78.2417  15.9163    265.00
  78.2583  15.9163    271.00
  78.2750  15.9163    281.00
  78.2917  15.9163    297.00
  78.3083  15.9163    295.00
  78.3250  15.9163    293.00
  78.3417  15.9163    281.00
  78.3583  15.9163    281.00
  78.3750  15.9163    279.00
  78.3917  15.9163    275.00
  78.4083  15.9163    267.00
  78.4250  15.9163    267.00
  78.4417  15.9163    267.00
  78.4583  15.9163    275.00
  78.4750  15.9163    283.00
  78.4917  15.9163    283.00
  78.5083  15.9163    285.00
  78.5250  15.9163    287.00
  78.5417  15.9163    291.00
  78.5583  15.9163    289.00
  78.5750  15.9163    291.00
  78.5917  15.9163    293.00
  78.6083  15.9163    295.00
  78.6250  15.9163    297.00
  78.6417  15.9163    299.00
  78.6583  15.9163    303.00
  78.6750  15.9163    315.00
  78.6917  15.9163    369.00
